row,columns,threads,user,elapsed,sys,pCPU
8000,8000,0,0.44,0.55,0.11,100%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.37,0.55,0.17,99%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.45,0.54,0.09,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.44,0.56,0.12,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.45,0.55,0.10,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.41,0.56,0.14,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.45,0.56,0.10,100%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.39,0.54,0.15,100%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.37,0.55,0.17,99%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.39,0.54,0.15,99%
8000,8000,0,0.44,0.55,0.10,100%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.39,0.54,0.14,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.54,0.11,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.37,0.54,0.17,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.43,0.54,0.11,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.45,0.54,0.08,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.44,0.55,0.11,100%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.38,0.54,0.16,100%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.42,0.54,0.11,100%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.42,0.54,0.11,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.38,0.55,0.16,99%
8000,8000,0,0.38,0.55,0.16,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.40,0.54,0.14,99%
8000,8000,0,0.44,0.56,0.11,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.44,0.54,0.10,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.39,0.55,0.15,100%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.42,0.54,0.11,100%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.38,0.55,0.16,100%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.43,0.55,0.11,100%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.41,0.54,0.12,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.44,0.54,0.10,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.37,0.54,0.16,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.39,0.54,0.15,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.47,0.54,0.07,100%
8000,8000,0,0.44,0.55,0.11,100%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.38,0.55,0.16,99%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.40,0.54,0.14,99%
8000,8000,0,0.42,0.55,0.12,100%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.44,0.55,0.10,99%
8000,8000,0,0.43,0.54,0.11,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.39,0.54,0.14,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.44,0.55,0.10,100%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.44,0.55,0.10,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.38,0.55,0.16,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.42,0.54,0.11,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.39,0.54,0.15,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.42,0.55,0.12,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.40,0.54,0.14,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.39,0.54,0.14,99%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.42,0.55,0.12,100%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.43,0.54,0.11,100%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.39,0.54,0.15,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.45,0.55,0.10,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.45,0.55,0.10,100%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.44,0.55,0.10,100%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.43,0.55,0.11,100%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.44,0.54,0.10,99%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.39,0.56,0.16,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.43,0.54,0.11,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.39,0.54,0.15,100%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.43,0.54,0.11,100%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.45,0.54,0.09,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.38,0.55,0.17,100%
8000,8000,0,0.39,0.55,0.16,100%
8000,8000,0,0.44,0.55,0.10,99%
8000,8000,0,0.44,0.55,0.11,100%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.43,0.55,0.11,100%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.39,0.54,0.14,99%
8000,8000,0,0.39,0.55,0.16,100%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.39,0.55,0.16,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.43,0.56,0.12,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.39,0.54,0.15,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.45,0.55,0.10,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.44,0.56,0.11,100%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.40,0.54,0.13,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.38,0.55,0.17,99%
8000,8000,0,0.45,0.55,0.10,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.39,0.54,0.15,100%
8000,8000,0,0.44,0.55,0.11,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.39,0.54,0.14,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.44,0.55,0.10,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.45,0.55,0.10,99%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.42,0.55,0.12,100%
8000,8000,0,0.44,0.55,0.11,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.38,0.56,0.18,100%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.41,0.56,0.14,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.35,0.55,0.19,100%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.37,0.55,0.17,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.47,0.55,0.08,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.44,0.55,0.11,100%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.39,0.54,0.15,100%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.39,0.54,0.15,99%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.42,0.55,0.12,100%
8000,8000,0,0.41,0.56,0.13,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.45,0.55,0.10,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.43,0.54,0.11,100%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.39,0.54,0.14,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.38,0.55,0.17,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.37,0.54,0.17,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.54,0.14,99%
8000,8000,0,0.43,0.56,0.12,100%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.39,0.54,0.15,99%
8000,8000,0,0.42,0.56,0.13,99%
8000,8000,0,0.45,0.55,0.10,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.39,0.56,0.16,99%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.42,0.54,0.12,99%
8000,8000,0,0.42,0.56,0.14,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.41,0.56,0.14,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.42,0.56,0.13,99%
8000,8000,0,0.43,0.55,0.11,100%
8000,8000,0,0.38,0.54,0.16,99%
8000,8000,0,0.42,0.56,0.13,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.38,0.55,0.16,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.44,0.55,0.11,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.43,0.54,0.11,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.40,0.54,0.14,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.46,0.55,0.09,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.39,0.54,0.15,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.12,100%
8000,8000,0,0.37,0.54,0.17,99%
8000,8000,0,0.46,0.55,0.09,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.43,0.55,0.11,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.45,0.55,0.10,99%
8000,8000,0,0.44,0.55,0.11,100%
8000,8000,0,0.39,0.55,0.15,100%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.44,0.54,0.10,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.38,0.54,0.16,99%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.44,0.56,0.12,100%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.45,0.55,0.10,100%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.39,0.55,0.15,100%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.37,0.55,0.17,100%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.40,0.54,0.14,99%
8000,8000,0,0.42,0.56,0.13,99%
8000,8000,0,0.38,0.55,0.16,99%
8000,8000,0,0.41,0.56,0.14,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.37,0.55,0.17,99%
8000,8000,0,0.37,0.55,0.18,100%
8000,8000,0,0.45,0.55,0.10,100%
8000,8000,0,0.44,0.55,0.10,99%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.38,0.55,0.16,99%
8000,8000,0,0.43,0.54,0.11,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.40,0.54,0.14,99%
8000,8000,0,0.40,0.56,0.15,99%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.45,0.56,0.10,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.41,0.55,0.13,100%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.44,0.55,0.10,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.14,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.43,0.56,0.12,99%
8000,8000,0,0.44,0.55,0.10,99%
8000,8000,0,0.39,0.55,0.15,100%
8000,8000,0,0.43,0.56,0.12,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.41,0.56,0.14,99%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.39,0.55,0.16,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.41,0.56,0.14,99%
8000,8000,0,0.45,0.55,0.09,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.39,0.54,0.15,99%
8000,8000,0,0.42,0.55,0.13,99%
8000,8000,0,0.45,0.55,0.09,99%
8000,8000,0,0.43,0.55,0.12,100%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.43,0.55,0.11,100%
8000,8000,0,0.42,0.56,0.14,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.44,0.55,0.10,99%
8000,8000,0,0.40,0.56,0.16,100%
8000,8000,0,0.38,0.55,0.16,99%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.40,0.55,0.15,99%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.47,0.56,0.08,99%
8000,8000,0,0.39,0.55,0.15,99%
8000,8000,0,0.41,0.54,0.13,99%
8000,8000,0,0.43,0.56,0.12,99%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.42,0.54,0.12,100%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.43,0.55,0.11,99%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.44,0.55,0.10,99%
8000,8000,0,0.43,0.55,0.12,99%
8000,8000,0,0.44,0.55,0.10,100%
8000,8000,0,0.41,0.55,0.13,99%
8000,8000,0,0.44,0.56,0.11,100%
8000,8000,0,0.42,0.55,0.13,100%
8000,8000,0,0.40,0.54,0.14,100%
8000,8000,0,0.41,0.55,0.14,100%
8000,8000,0,0.41,0.55,0.14,99%
8000,8000,0,0.40,0.55,0.14,100%
8000,8000,0,0.42,0.55,0.12,99%
8000,8000,0,0.40,0.55,0.15,100%
8000,8000,0,0.45,0.55,0.10,99%
8000,8000,0,0.41,0.54,0.13,100%
8000,8000,0,0.43,0.56,0.13,100%
8000,8000,0,0.43,0.55,0.11,100%
8000,8000,0,0.43,0.54,0.11,100%
8000,8000,0,0.37,0.55,0.18,99%
8000,8000,0,0.43,0.55,0.11,100%
8000,8000,0,0.40,0.54,0.14,100%
